,index,order_id,order_date,delivered_date,customer_id,customer_name,customer_age,customer_gender,customer_segment,region,state,city,product_id,product_name,category,sub_category,brand,unit_price,quantity,discount_percentage,discount_amount,sales_amount,profit_margin,profit_amount,tax_rate,tax_amount,shipping_cost,shipping_method,total_amount,payment_method,delivery_time_days,order_status,rating,is_repeat_customer,order_year,order_month,order_quarter,order_day_of_week
22,22,ORD100798,2020-02-18,2020-02-24,CUST10178,Sneha Malhotra,41,Female,Home Office,West,Gujarat,Surat,PROD8472,Puma Shoes,Clothing,Shoes,Puma,4116.98,1,0,0.0,4116.98,0.3075,1265.94,0.12,494.04,146.5,Standard,4757.52,Net Banking,6,Delivered,4.0,No,2020,2,Q1,Tuesday
23,23,ORD100568,2020-02-19,2020-02-22,CUST10026,Rahul Gupta,46,Female,Consumer,South,Kerala,Kochi,PROD3500,Samsung Smartphones,Electronics,Smartphones,Samsung,2875.94,1,5,143.8,2732.14,0.0733,200.19,0.18,491.79,176.54,Express,3400.46,Credit Card,3,Delivered,4.0,No,2020,2,Q1,Wednesday
24,24,ORD100959,2020-02-19,,CUST10107,Anjali Nair,55,Female,Corporate,Central,Chhattisgarh,Bilaspur,PROD4908,UrbanLadder Chairs,Furniture,Chairs,UrbanLadder,47558.1,5,10,23779.05,214011.44,0.2051,43899.9,0.12,25681.37,0.0,Economy,239692.81,Net Banking,10,Cancelled,,No,2020,2,Q1,Wednesday
25,25,ORD100366,2020-02-19,2020-02-26,CUST10116,Vikram Banerjee,35,Male,Corporate,West,Gujarat,Ahmedabad,PROD4700,Zara Accessories,Clothing,Accessories,Zara,4654.44,3,15,2094.5,11868.82,0.3461,4108.32,0.12,1424.26,77.82,Economy,13370.9,Credit Card,7,Delivered,4.5,No,2020,2,Q1,Wednesday
26,26,ORD100090,2020-02-22,2020-02-27,CUST10149,Kavita Banerjee,48,Female,Consumer,North,Rajasthan,Jaipur,PROD9013,H&M Jackets,Clothing,Jackets,H&M,4536.46,1,15,680.47,3855.99,0.3044,1173.8,0.12,462.72,81.96,Standard,4400.67,Credit Card,5,Delivered,4.0,No,2020,2,Q1,Saturday
27,27,ORD100695,2020-02-29,2020-03-03,CUST10166,Kavita Patel,57,Female,Consumer,South,Tamil Nadu,Chennai,PROD4507,Local Publishers Self-Help,Books,Self-Help,Local Publishers,1162.29,4,30,1394.75,3254.42,0.3219,1047.74,0.12,390.53,187.78,Express,3832.73,UPI,3,Delivered,4.5,No,2020,2,Q1,Saturday
28,28,ORD100073,2020-03-01,2020-03-04,CUST10171,Kavita Kumar,57,Male,Consumer,West,Gujarat,Vadodara,PROD2262,LG Tablets,Electronics,Tablets,LG,1638.6,2,0,0.0,3277.2,0.1102,361.0,0.18,589.9,57.3,Standard,3924.4,Credit Card,3,Delivered,3.5,No,2020,3,Q1,Sunday
29,29,ORD100665,2020-03-03,,CUST10226,Kavita Gupta,58,Female,Home Office,South,Tamil Nadu,Coimbatore,PROD9519,HarperCollins Cooking,Books,Cooking,HarperCollins,987.75,1,15,148.16,839.59,0.4133,346.96,0.12,100.75,178.03,Express,1118.37,UPI,1,Shipped,,No,2020,3,Q1,Tuesday
30,30,ORD100834,2020-03-05,,CUST10071,Arjun Patel,28,Male,Consumer,West,Maharashtra,Pune,PROD1296,HomeCenter Curtains,Home Decor,Curtains,HomeCenter,8477.74,1,10,847.77,7629.97,0.2141,1633.65,0.12,915.6,100.08,Express,8645.64,Wallet,1,Shipped,,No,2020,3,Q1,Thursday
31,31,ORD100036,2020-03-05,,CUST10092,Rohan Reddy,24,Female,Corporate,South,Kerala,Trivandrum,PROD7154,Hometown Rugs,Home Decor,Rugs,Hometown,1261.37,6,25,1892.06,5676.19,0.165,936.35,0.12,681.14,228.61,Same Day,6585.94,Net Banking,0,Shipped,,No,2020,3,Q1,Thursday
32,32,ORD100353,2020-03-05,2020-03-07,CUST10082,Anjali Kulkarni,48,Male,Consumer,South,Kerala,Calicut,PROD9012,H&M T-Shirts,Clothing,T-Shirts,H&M,3019.54,3,15,1358.79,7699.84,0.2964,2282.41,0.12,923.98,175.28,Express,8799.1,Wallet,2,Delivered,5.0,No,2020,3,Q1,Thursday
33,33,ORD100615,2020-03-06,2020-03-09,CUST10201,Arjun Joshi,22,Female,Consumer,East,Bihar,Gaya,PROD5811,WestSide Curtains,Home Decor,Curtains,WestSide,6707.15,4,10,2682.86,24145.74,0.3056,7379.35,0.12,2897.49,199.94,Express,27243.16,Cash on Delivery,3,Delivered,3.5,No,2020,3,Q1,Friday
34,34,ORD100144,2020-03-07,,CUST10257,Vikram Kumar,56,Female,Corporate,East,Assam,Guwahati,PROD6171,Hometown Wall Art,Home Decor,Wall Art,Hometown,7046.5,1,0,0.0,7046.5,0.2872,2023.41,0.12,845.58,107.41,Standard,7999.49,Credit Card,6,Cancelled,,No,2020,3,Q1,Saturday
35,35,ORD100061,2020-03-07,2020-03-13,CUST10275,Vikram Desai,25,Female,Consumer,East,Bihar,Gaya,PROD9369,Oxford Cooking,Books,Cooking,Oxford,346.17,1,20,69.23,276.94,0.3788,104.9,0.12,33.23,130.49,Standard,440.66,Wallet,6,Delivered,4.5,No,2020,3,Q1,Saturday
36,36,ORD100468,2020-03-10,2020-03-17,CUST10053,Meera Malhotra,35,Female,Home Office,East,West Bengal,Kolkata,PROD6516,WestSide Rugs,Home Decor,Rugs,WestSide,6653.87,1,25,1663.47,4990.4,0.1845,920.51,0.12,598.85,60.48,Standard,5649.73,Net Banking,7,Delivered,4.0,No,2020,3,Q1,Tuesday
37,37,ORD100342,2020-03-12,2020-03-17,CUST10043,Rahul Desai,37,Female,Home Office,North,Punjab,Amritsar,PROD1001,Oxford Non-Fiction,Books,Non-Fiction,Oxford,521.84,1,25,130.46,391.38,0.3643,142.57,0.12,46.97,98.75,Standard,537.1,EMI,5,Delivered,3.5,No,2020,3,Q1,Thursday
38,38,ORD100865,2020-03-12,,CUST10171,Kavita Kumar,57,Male,Consumer,South,Kerala,Trivandrum,PROD6904,Prestige Appliances,Kitchen,Appliances,Prestige,2876.08,6,10,1725.65,15530.85,0.1362,2114.79,0.18,2795.55,106.54,Standard,18432.94,Credit Card,5,Cancelled,,No,2020,3,Q1,Thursday
39,39,ORD100573,2020-03-12,,CUST10061,Kavita Verma,60,Male,Consumer,East,Bihar,Gaya,PROD1497,HomeCenter Cushions,Home Decor,Cushions,HomeCenter,8861.76,5,0,0.0,44308.8,0.2169,9610.05,0.12,5317.06,0.0,Express,49625.86,Cash on Delivery,2,Shipped,,No,2020,3,Q1,Thursday
40,40,ORD100569,2020-03-14,2020-03-21,CUST10298,Amit Malhotra,26,Female,Corporate,West,Maharashtra,Pune,PROD7031,Philips Cookware,Kitchen,Cookware,Philips,6814.27,4,5,1362.85,25894.24,0.1613,4176.83,0.18,4660.96,0.0,Standard,30555.2,Credit Card,7,Delivered,4.5,No,2020,3,Q1,Saturday
41,41,ORD100248,2020-03-16,,CUST10139,Divya Patel,54,Female,Home Office,South,Karnataka,Mysore,PROD3883,Levis Accessories,Clothing,Accessories,Levis,3433.89,1,15,515.08,2918.81,0.3547,1035.4,0.12,350.26,138.62,Standard,3407.68,EMI,6,Shipped,,No,2020,3,Q1,Monday
42,42,ORD100844,2020-03-17,2020-03-22,CUST10262,Divya Desai,59,Male,Consumer,West,Goa,Panaji,PROD3852,Scholastic Fiction,Books,Fiction,Scholastic,822.89,2,0,0.0,1645.79,0.4741,780.24,0.12,197.49,74.76,Standard,1918.04,Debit Card,5,Delivered,5.0,No,2020,3,Q1,Tuesday
43,43,ORD100609,2020-03-17,2020-03-27,CUST10247,Pooja Verma,31,Female,Home Office,North,Uttar Pradesh,Noida,PROD2871,Nilkamal Chairs,Furniture,Chairs,Nilkamal,14157.65,2,25,7078.83,21236.48,0.1905,4045.8,0.12,2548.38,57.93,Economy,23842.79,Cash on Delivery,10,Delivered,4.0,No,2020,3,Q1,Tuesday
44,44,ORD100923,2020-03-22,2020-03-26,CUST10204,Karan Joshi,34,Male,Corporate,North,Punjab,Amritsar,PROD8050,Dell Headphones,Electronics,Headphones,Dell,823.35,1,20,164.67,658.68,0.0762,50.21,0.18,118.56,65.48,Standard,842.72,Credit Card,4,Delivered,,No,2020,3,Q1,Sunday
45,45,ORD100974,2020-03-22,2020-03-26,CUST10287,Rahul Kulkarni,25,Male,Consumer,South,Telangana,Hyderabad,PROD7161,Nilkamal Wardrobes,Furniture,Wardrobes,Nilkamal,55532.99,2,0,0.0,111065.97,0.1998,22195.48,0.12,13327.92,0.0,Standard,124393.89,Debit Card,4,Delivered,5.0,No,2020,3,Q1,Sunday
46,46,ORD100212,2020-03-24,2020-03-26,CUST10192,Rohan Reddy,57,Male,Home Office,South,Karnataka,Mysore,PROD3939,Apple Laptops,Electronics,Laptops,Apple,2799.57,3,10,839.87,7558.84,0.0629,475.26,0.18,1360.59,171.4,Express,9090.83,Debit Card,2,Delivered,3.5,No,2020,3,Q1,Tuesday
47,47,ORD100629,2020-03-24,2020-03-24,CUST10159,Vikram Reddy,24,Male,Corporate,West,Maharashtra,Nagpur,PROD1852,Puma Dresses,Clothing,Dresses,Puma,1201.32,1,25,300.33,900.99,0.2255,203.13,0.12,108.12,231.2,Same Day,1240.31,Net Banking,0,Delivered,4.0,No,2020,3,Q1,Tuesday
48,48,ORD100967,2020-03-26,2020-04-05,CUST10273,Vikram Chopra,52,Male,Home Office,West,Maharashtra,Mumbai,PROD5837,Hometown Curtains,Home Decor,Curtains,Hometown,6784.07,1,5,339.2,6444.87,0.2798,1803.26,0.12,773.38,60.25,Economy,7278.5,Cash on Delivery,10,Delivered,4.0,No,2020,3,Q1,Thursday
49,49,ORD100725,2020-03-26,,CUST10279,Sneha Iyer,57,Female,Corporate,Central,Madhya Pradesh,Indore,PROD2587,FabIndia Lamps,Home Decor,Lamps,FabIndia,3078.24,2,10,615.65,5540.83,0.2945,1631.51,0.12,664.9,64.91,Standard,6270.64,Net Banking,6,Cancelled,,No,2020,3,Q1,Thursday
50,50,ORD100433,2020-03-26,2020-03-29,CUST10283,Amit Kumar,31,Female,Consumer,South,Karnataka,Mangalore,PROD6789,Nike Dresses,Clothing,Dresses,Nike,2976.94,1,0,0.0,2976.94,0.3164,941.83,0.12,357.23,111.62,Express,3445.79,UPI,3,Delivered,4.5,No,2020,3,Q1,Thursday
51,51,ORD100961,2020-03-28,,CUST10258,Sneha Chopra,23,Male,Consumer,Central,Chhattisgarh,Raipur,PROD2924,Penguin Non-Fiction,Books,Non-Fiction,Penguin,978.33,2,10,195.67,1761.0,0.4126,726.57,0.12,211.32,142.32,Express,2114.64,Debit Card,3,Shipped,,No,2020,3,Q1,Saturday
52,52,ORD100262,2020-03-30,,CUST10231,Arjun Chopra,64,Male,Consumer,East,Bihar,Patna,PROD6294,Dell Cameras,Electronics,Cameras,Dell,2454.0,3,10,736.2,6625.79,0.0829,549.57,0.18,1192.64,68.07,Standard,7886.5,Debit Card,3,Shipped,,No,2020,3,Q1,Monday
53,53,ORD100991,2020-03-31,2020-04-06,CUST10119,Amit Joshi,58,Female,Consumer,North,Punjab,Ludhiana,PROD9529,Scholastic Non-Fiction,Books,Non-Fiction,Scholastic,563.48,4,0,0.0,2253.91,0.3787,853.51,0.12,270.47,44.5,Standard,2568.87,UPI,6,Delivered,4.5,No,2020,3,Q1,Tuesday
54,54,ORD100429,2020-03-31,2020-04-09,CUST10114,Kavita Reddy,43,Female,Corporate,South,Kerala,Kochi,PROD1856,Philips Storage,Kitchen,Storage,Philips,8720.07,1,20,1744.01,6976.06,0.2175,1517.09,0.18,1255.69,43.13,Economy,8274.87,Net Banking,9,Delivered,1.5,No,2020,3,Q1,Tuesday
55,55,ORD100721,2020-04-02,2020-04-07,CUST10215,Sneha Malhotra,32,Female,Consumer,East,Assam,Dibrugarh,PROD8033,Scholastic Non-Fiction,Books,Non-Fiction,Scholastic,232.31,2,5,23.23,441.38,0.3417,150.83,0.12,52.97,101.69,Standard,596.04,EMI,5,Delivered,4.0,No,2020,4,Q2,Thursday
56,56,ORD100897,2020-04-05,2020-04-05,CUST10075,Amit Iyer,30,Female,Corporate,North,Punjab,Chandigarh,PROD7359,WestSide Rugs,Home Decor,Rugs,WestSide,7132.72,2,25,3566.36,10699.07,0.176,1883.01,0.12,1283.89,211.97,Same Day,12194.93,Net Banking,0,Delivered,,No,2020,4,Q2,Sunday
57,57,ORD100965,2020-04-09,2020-04-09,CUST10169,Priya Verma,28,Male,Consumer,North,Rajasthan,Jaipur,PROD4910,HP Smartwatches,Electronics,Smartwatches,HP,1470.73,1,0,0.0,1470.73,0.1012,148.79,0.18,264.73,203.2,Same Day,1938.65,Credit Card,0,Delivered,3.0,No,2020,4,Q2,Thursday
58,58,ORD100403,2020-04-10,2020-04-11,CUST10195,Amit Desai,48,Male,Consumer,West,Maharashtra,Pune,PROD5520,Pepperfry Wardrobes,Furniture,Wardrobes,Pepperfry,48776.33,2,10,9755.27,87797.4,0.2356,20682.02,0.12,10535.69,0.0,Express,98333.09,Credit Card,1,Delivered,3.5,No,2020,4,Q2,Friday
59,59,ORD100255,2020-04-11,,CUST10205,Rajesh Singh,48,Male,Consumer,Central,Chhattisgarh,Bilaspur,PROD3787,Godrej Sofa Sets,Furniture,Sofa Sets,Godrej,80937.75,1,25,20234.44,60703.31,0.1742,10572.35,0.12,7284.4,0.0,Economy,67987.71,Net Banking,8,Shipped,,No,2020,4,Q2,Saturday
60,60,ORD100808,2020-04-12,2020-04-16,CUST10078,Vikram Gupta,30,Male,Consumer,North,Rajasthan,Udaipur,PROD5317,H&M T-Shirts,Clothing,T-Shirts,H&M,1427.62,1,0,0.0,1427.62,0.3478,496.5,0.12,171.31,99.02,Standard,1697.96,UPI,4,Delivered,4.5,No,2020,4,Q2,Sunday
61,61,ORD100876,2020-04-13,2020-04-20,CUST10263,Kavita Verma,24,Female,Consumer,East,Bihar,Patna,PROD5002,HomeCenter Wall Art,Home Decor,Wall Art,HomeCenter,9553.38,1,0,0.0,9553.38,0.3324,3175.13,0.12,1146.41,112.84,Standard,10812.62,Wallet,7,Delivered,4.5,No,2020,4,Q2,Monday
62,62,ORD100220,2020-04-15,2020-04-18,CUST10187,Meera Reddy,64,Female,Consumer,West,Goa,Panaji,PROD2097,Adidas Dresses,Clothing,Dresses,Adidas,3066.34,3,0,0.0,9199.01,0.3502,3221.86,0.12,1103.88,210.61,Express,10513.5,Debit Card,3,Delivered,5.0,No,2020,4,Q2,Wednesday
63,63,ORD100940,2020-04-16,2020-04-19,CUST10052,Amit Patel,37,Male,Home Office,West,Goa,Margao,PROD9372,HarperCollins Cooking,Books,Cooking,HarperCollins,320.1,1,25,80.02,240.07,0.3497,83.94,0.12,28.81,45.98,Standard,314.87,Credit Card,3,Delivered,1.5,No,2020,4,Q2,Thursday
64,64,ORD100459,2020-04-16,,CUST10070,Neha Kulkarni,64,Male,Corporate,Central,Chhattisgarh,Bilaspur,PROD5957,Milton Storage,Kitchen,Storage,Milton,6703.73,1,10,670.37,6033.35,0.1791,1080.85,0.18,1086.0,92.19,Standard,7211.55,EMI,7,Shipped,,No,2020,4,Q2,Thursday
65,65,ORD100878,2020-04-19,,CUST10281,Amit Verma,64,Female,Consumer,South,Telangana,Hyderabad,PROD2500,IKEA Chairs,Furniture,Chairs,IKEA,61031.31,1,0,0.0,61031.31,0.2067,12615.11,0.12,7323.76,0.0,Standard,68355.07,Net Banking,5,Cancelled,,No,2020,4,Q2,Sunday
66,66,ORD100060,2020-04-19,2020-04-23,CUST10183,Aditya Kulkarni,39,Male,Home Office,North,Rajasthan,Jaipur,PROD9281,IKEA Wardrobes,Furniture,Wardrobes,IKEA,58286.37,2,10,11657.27,104915.47,0.2387,25042.84,0.12,12589.86,0.0,Standard,117505.33,Wallet,4,Delivered,3.0,No,2020,4,Q2,Sunday
67,67,ORD100204,2020-04-26,2020-04-29,CUST10111,Meera Malhotra,38,Male,Consumer,Central,Madhya Pradesh,Gwalior,PROD3128,Sony Laptops,Electronics,Laptops,Sony,1314.09,3,15,591.34,3350.92,0.0903,302.56,0.18,603.17,52.19,Standard,4006.28,UPI,3,Delivered,,No,2020,4,Q2,Sunday
68,68,ORD100759,2020-05-01,,CUST10213,Priya Verma,26,Male,Consumer,North,Delhi,New Delhi,PROD3999,Samsung Tablets,Electronics,Tablets,Samsung,2746.57,1,20,549.31,2197.25,0.0784,172.35,0.18,395.51,233.59,Express,2826.35,Credit Card,1,Cancelled,,No,2020,5,Q2,Friday
69,69,ORD100319,2020-05-02,2020-05-08,CUST10255,Rohan Verma,35,Male,Consumer,East,Bihar,Patna,PROD4900,HomeCenter Cushions,Home Decor,Cushions,HomeCenter,9271.39,2,25,4635.69,13907.08,0.2332,3242.66,0.12,1668.85,70.59,Standard,15646.52,Credit Card,6,Delivered,3.0,No,2020,5,Q2,Saturday
70,70,ORD100110,2020-05-09,2020-05-10,CUST10160,Neha Banerjee,30,Female,Consumer,North,Uttar Pradesh,Kanpur,PROD2560,Levis Shoes,Clothing,Shoes,Levis,2503.53,3,10,751.06,6759.53,0.3596,2430.73,0.12,811.14,223.97,Express,7794.64,Wallet,1,Delivered,4.0,No,2020,5,Q2,Saturday
71,71,ORD100624,2020-05-09,2020-05-10,CUST10083,K. Nair,48,Male,Consumer,South,Telangana,Hyderabad,PROD4181,Local Publishers Cooking,Books,Cooking,Local Publishers,821.3,5,15,615.97,3490.51,0.3013,1051.69,0.12,418.86,311.46,Same Day,4220.83,EMI,1,Delivered,4.0,No,2020,5,Q2,Saturday
72,72,ORD100296,2020-05-14,,CUST10028,Arjun Nair,63,Female,Consumer,Central,Madhya Pradesh,Indore,PROD7735,HomeCenter Rugs,Home Decor,Rugs,HomeCenter,2713.56,2,15,814.07,4613.06,0.1714,790.46,0.12,553.57,127.47,Standard,5294.09,Debit Card,3,Delivered,4.0,No,2020,5,Q2,Thursday
73,73,ORD100623,2020-05-15,2020-05-20,CUST10138,Priya Iyer,56,Female,Consumer,South,Karnataka,Mysore,PROD9758,Levis T-Shirts,Clothing,T-Shirts,Levis,2646.31,1,15,396.95,2249.36,0.2905,653.4,0.12,269.92,126.79,Standard,2646.08,Cash on Delivery,5,Delivered,5.0,No,2020,5,Q2,Friday
74,74,ORD100625,2020-05-17,,CUST10116,Vikram Banerjee,35,Male,Corporate,West,Goa,Margao,PROD4262,WestSide Curtains,Home Decor,Curtains,WestSide,9048.72,1,0,0.0,9048.72,0.2856,2584.68,0.12,1085.85,113.1,Standard,10247.67,Credit Card,3,Cancelled,,No,2020,5,Q2,Sunday
75,75,ORD100038,2020-05-17,2020-05-22,CUST10017,Rajesh Reddy,62,Male,Consumer,West,Goa,Panaji,PROD7590,UrbanLadder Chairs,Furniture,Chairs,UrbanLadder,41800.14,2,20,16720.05,66880.22,0.2185,14613.47,0.12,8025.63,0.0,Standard,74905.84,Cash on Delivery,5,Delivered,4.5,No,2020,5,Q2,Sunday
76,76,ORD100970,2020-05-18,2020-05-25,CUST10225,Neha Singh,46,Female,Consumer,South,Karnataka,Mysore,PROD7934,WestSide Wall Art,Home Decor,Wall Art,WestSide,1011.7,2,10,202.34,1821.06,0.2304,419.59,0.12,218.53,73.24,Standard,2112.83,UPI,7,Delivered,5.0,No,2020,5,Q2,Monday
77,77,ORD100297,2020-05-18,2020-05-23,CUST10099,Karan Malhotra,50,Female,Consumer,Central,Madhya Pradesh,Gwalior,PROD7897,Scholastic Academic,Books,Academic,Scholastic,824.82,2,0,0.0,1649.64,0.3707,611.44,0.12,197.96,54.04,Standard,1901.64,Wallet,5,Delivered,5.0,No,2020,5,Q2,Monday
